Series Name,Match Date,Team1,Team1Runs,Team1WicketsFell,Team1ExtrasRec,Team2,Team2Runs,Team2WicketsFell,Team2ExtrasRec,Venue,Country,TossWinner,TossWinnerChoice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
Sri Lanka tour of South Africa  - 2016 (2016/17),20-01-2017,South Africa,126,5,7,Sri Lanka,107,6,2,Centurion,South Africa,Sri Lanka,bowl,South Africa,South Africa won by 19 runs,66941,"['51232', '48304', '63987', '53891', '48148', '54432', '50121', '66941', '66859', '46936', '19422']","['61131', '62760', '47023', '79805', '50378', '70888', '52371', '57410', '46206', '54131', '46995']","['66859', '51232', '66941', '54432', '63987', '79805']"
Sri Lanka tour of South Africa  - 2016 (2016/17),22-01-2017,South Africa,113,10,5,Sri Lanka,119,7,7,Johannesburg,South Africa,South Africa,bat,Sri Lanka,Sri Lanka won by 3 wickets (with 2 balls remaining),47023,"['51232', '48304', '63987', '54432', '53891', '48148', '50121', '66859', '46936', '19422', '66941']","['61131', '62760', '70888', '52371', '47023', '57410', '50378', '79805', '46206', '61115', '54460']",['61115']
Sri Lanka tour of South Africa  - 2016 (2016/17),25-01-2017,South Africa,169,5,4,Sri Lanka,170,5,8,Cape Town,South Africa,South Africa,bat,Sri Lanka,Sri Lanka won by 5 wickets (with 1 ball remaining),61131,"['51232', '50416', '46533', '53891', '48148', '54432', '50121', '66859', '54444', '19422', '66941']","['61131', '11334', '52371', '62760', '50378', '70888', '57410', '79805', '46206', '61115', '54460']",['54444']
England tour of India  - 2016 (2016/17),26-01-2017,India,147,7,11,England,148,3,8,Kanpur,India,England,bowl,England,England won by 7 wickets (with 11 balls remaining),46597,"['49752', '60530', '15716', '7716', '7593', '51454', '70633', '58365', '70640', '7804', '61325']","['52290', '52241', '52656', '47055', '53320', '53271', '46597', '51421', '45443', '62490', '49427']",['58365']
AUS v SL  - 2017 (2016/17),17-02-2017,Australia,168,6,7,Sri Lanka,172,5,13,Melbourne,Australia,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 5 wickets (with 0 balls remaining),57410,"['35812', '8241', '66190', '47078', '64758', '50483', '34747', '64244', '58435', '66371', '62500']","['61131', '11334', '52808', '57410', '48821', '48520', '50378', '60526', '45105', '46206', '61115']","['64758', '66371', '8241', '60526']"
AUS v SL  - 2017 (2016/17),19-02-2017,Australia,173,10,8,Sri Lanka,176,8,7,Geelong,Australia,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 2 wickets (with 0 balls remaining),57410,"['8241', '35812', '59118', '47078', '66190', '64758', '50483', '34747', '64244', '62500', '77669']","['61131', '11334', '52808', '70888', '57410', '48821', '48520', '50378', '46206', '45105', '60526']",['77669']
AUS v SL  - 2017 (2016/17),22-02-2017,Australia,187,6,8,Sri Lanka,146,10,9,Adelaide,Australia,Sri Lanka,bowl,Australia,Australia won by 41 runs,58435,"['35812', '8241', '59118', '66190', '47078', '64758', '50483', '34747', '64244', '77669', '58435']","['52808', '11334', '70888', '57410', '48821', '48520', '61690', '50378', '46206', '45105', '60526']",[]
IND v AFG  - 2016 (2016/17),08-03-2017,Ireland,165,5,4,Afghanistan,171,4,14,Greater Noida,India,Ireland,bat,Afghanistan,Afghanistan won by 6 wickets (with 12 balls remaining),53605,"['60195', '52631', '47403', '47397', '47401', '85965', '47396', '60322', '56811', '57785', '91757']","['60436', '66395', '53605', '53809', '46888', '57628', '79159', '59773', '65861', '53755', '79163']",[]
IND v AFG  - 2016 (2016/17),10-03-2017,Afghanistan,184,8,7,Ireland,93,9,5,Greater Noida,India,Afghanistan,bat,Afghanistan,Afghanistan won by 17 runs (DLS method),66395,"['60436', '66395', '53809', '53605', '57628', '79163', '46888', '65861', '79159', '59773', '53755']","['60195', '52631', '47403', '47397', '47401', '60322', '85965', '47396', '56811', '56835', '91757']",['56835']
IRE tour of AE and India  - 2017 (2016/17),12-03-2017,Afghanistan,233,8,13,Ireland,205,10,4,Greater Noida,India,Ireland,bowl,Afghanistan,Afghanistan won by 28 runs,46888,"['60436', '66395', '74913', '53809', '65861', '53605', '46888', '79163', '79159', '53755', '59773']","['52631', '60195', '47403', '47397', '47401', '60322', '85965', '47396', '56811', '56835', '91757']",[]
WI v PAK  - 2017 (2017),26-03-2017,West Indies,111,8,7,Pakistan,115,4,4,Bridgetown,West Indies,Pakistan,bowl,Pakistan,Pakistan won by 6 wickets (with 17 balls remaining),84937,"['61413', '53429', '10238', '45256', '49040', '49039', '80425', '62457', '59339', '45772', '62138']","['9257', '49899', '56880', '19647', '8270', '48983', '48982', '84937', '48128', '24723', '72719']","['80425', '84937']"
WI v PAK  - 2017 (2017),30-03-2017,Pakistan,132,10,1,West Indies,129,8,7,Port of Spain,West Indies,West Indies,bowl,Pakistan,Pakistan won by 3 runs,84937,"['9257', '49899', '56880', '8270', '65101', '48983', '48982', '48128', '84937', '24723', '72719']","['61413', '53429', '10238', '45256', '49040', '80425', '62457', '59339', '49039', '45772', '62138']",['65101']
WI v PAK  - 2017 (2017),01-04-2017,Pakistan,137,8,10,West Indies,138,3,7,Port of Spain,West Indies,Pakistan,bat,West Indies,West Indies won by 7 wickets (with 31 balls remaining),61413,"['49899', '9257', '48982', '56880', '8270', '65101', '48983', '24723', '48128', '84937', '72719']","['61413', '53429', '10238', '49030', '45256', '49040', '62457', '59339', '49039', '45772', '62138']",['49030']
WI v PAK  - 2017 (2017),02-04-2017,West Indies,124,8,3,Pakistan,127,3,4,Port of Spain,West Indies,Pakistan,bowl,Pakistan,Pakistan won by 7 wickets (with 6 balls remaining),72719,"['61413', '53429', '10238', '49030', '45256', '49040', '62457', '59339', '49039', '45772', '62138']","['49899', '9257', '56880', '8270', '48983', '48982', '65101', '62088', '24723', '84937', '72719']",[]
SL v BDESH  - 2017 (2016/17),04-04-2017,Bangladesh,155,6,17,Sri Lanka,158,4,6,Colombo,Sri Lanka,Bangladesh,bat,Sri Lanka,Sri Lanka won by 6 wickets (with 7 balls remaining),52373,"['48391', '61619', '58220', '47986', '48277', '67276', '47352', '24672', '70884', '54674', '66808']","['52373', '11334', '52808', '57410', '50378', '49193', '48520', '48821', '46206', '45105', '60526']",['70884']
SL v BDESH  - 2017 (2016/17),06-04-2017,Bangladesh,176,9,7,Sri Lanka,131,10,4,Colombo,Sri Lanka,Bangladesh,bat,Bangladesh,Bangladesh won by 45 runs,48277,"['51239', '61619', '58220', '48277', '67276', '47352', '47986', '24672', '70877', '70884', '54674']","['52373', '52808', '11334', '48520', '57410', '48821', '49193', '50378', '46206', '45105', '60526']",['70877']
PNG tour of UAE  - 2017 (2017),12-04-2017,P.N.G.,102,10,6,U.A.E.,108,5,3,Abu Dhabi,United Arab Emirates,U.A.E.,bowl,U.A.E.,U.A.E. won by 5 wickets (with 29 balls remaining),,"['52584', '59064', '61866', '47469', '60468', '46828', '47478', '55132', '65887', '65883', '52588']","['53033', '66386', '45742', '48747', '90291', '87647', '88707', '49463', '87643', '81831', '48412']","['65883', '65883', '81831']"
PNG tour of UAE  - 2017 (2017),14-04-2017,U.A.E.,180,3,13,P.N.G.,150,10,15,Abu Dhabi,United Arab Emirates,P.N.G.,bowl,U.A.E.,U.A.E. won by 30 runs,,"['53033', '66386', '45742', '87647', '48747', '48412', '90291', '49463', '87643', '81831', '88707']","['52584', '61866', '47469', '46828', '60468', '47478', '55132', '68066', '65887', '65883', '52588']",[]
PNG tour of UAE  - 2017 (2017),14-04-2017,P.N.G.,128,5,7,U.A.E.,129,5,4,Abu Dhabi,United Arab Emirates,P.N.G.,bat,U.A.E.,U.A.E. won by 5 wickets (with 5 balls remaining),,"['52584', '61866', '47469', '46828', '60468', '47478', '65887', '55132', '52588', '68066', '65884']","['53033', '87121', '45742', '90291', '48747', '51278', '88707', '49463', '58886', '66386', '48412']","['51278', '65884', '65884', '87121', '87121']"
WI v AFG  - 2017 (2017),02-06-2017,Afghanistan,110,10,9,West Indies,114,4,5,Basseterre,West Indies,Afghanistan,bat,West Indies,West Indies won by 6 wickets (with 21 balls remaining),49039,"['74913', '57022', '53809', '79163', '53605', '46888', '79159', '57628', '65861', '59773', '53755']","['53429', '61413', '10238', '45256', '49030', '80425', '62457', '46591', '49039', '45772', '62138']",[]
WI v AFG  - 2017 (2017),03-06-2017,West Indies,112,3,11,Afghanistan,93,10,9,Basseterre,West Indies,West Indies,bat,West Indies,West Indies won by 29 runs (DLS method),62138,"['53429', '61413', '10238', '45256', '62457', '49030', '80425', '46591', '49039', '45772', '62138']","['57022', '53606', '53809', '53605', '46888', '79163', '57628', '65861', '79159', '65399', '59773']",[]
WI v AFG  - 2017 (2017),05-06-2017,Afghanistan,146,6,10,West Indies,147,3,1,Basseterre,West Indies,Afghanistan,bat,West Indies,West Indies won by 7 wickets (with 4 balls remaining),10238,"['53606', '53112', '53809', '46888', '79163', '57628', '65861', '57022', '79159', '53755', '59773']","['53429', '61413', '10238', '45256', '49030', '80425', '62457', '46591', '49039', '45772', '62138']",[]
SA tour of England  - 2017 (2017),21-06-2017,South Africa,142,3,1,England,143,1,8,Southampton,England,South Africa,bat,England,England won by 9 wickets (with 33 balls remaining),52161,"['51232', '50416', '46533', '53891', '48148', '54432', '50121', '54430', '66859', '58408', '19422']","['52290', '49532', '52161', '47055', '53271', '52241', '48572', '72035', '53121', '51421', '56993']","['54430', '72035', '58408']"
SA tour of England  - 2017 (2017),23-06-2017,South Africa,174,8,5,England,171,6,15,Taunton,England,England,bowl,South Africa,South Africa won by 3 runs,61832,"['51232', '50416', '54432', '46533', '53891', '48148', '61832', '66859', '47289', '54444', '58408']","['52290', '52241', '52161', '59832', '53271', '47055', '48572', '45443', '51421', '53121', '67312']","['59832', '67312']"
SA tour of England  - 2017 (2017),25-06-2017,England,181,8,14,South Africa,162,7,12,Cardiff,England,South Africa,bowl,England,England won by 19 runs,49309,"['52290', '49532', '49309', '53271', '52241', '59832', '45443', '53121', '51421', '67312', '72035']","['51232', '50416', '61832', '46533', '53891', '48148', '54432', '66859', '47289', '54444', '19422']",['49309']
WI v IND  - 2017 (2017),09-07-2017,India,190,6,12,West Indies,194,1,15,Kingston,West Indies,West Indies,bowl,West Indies,West Indies won by 9 wickets (with 9 balls remaining),61413,"['49752', '15887', '86165', '8813', '7593', '51482', '49247', '12894', '67609', '63646', '54282']","['7568', '61413', '10238', '53429', '49040', '80425', '62457', '49039', '45772', '46591', '62138']",['67609']
SL v IND  - 2017 (2017),06-09-2017,Sri Lanka,170,7,7,India,174,3,7,Colombo,Sri Lanka,India,bowl,India,India won by 7 wickets (with 4 balls remaining),49752,"['61131', '11334', '52808', '47023', '49222', '49193', '61690', '50378', '54460', '68065', '45105']","['48405', '60530', '49752', '51454', '7593', '51482', '67455', '67609', '54282', '61325', '70640']",['49222']
Independence Cup World-XI in Pakistan - 2017 (2017/18),12-09-2017,Pakistan,197,5,7,World-XI,177,7,10,Lahore,Pakistan,World-XI,bowl,Pakistan,Pakistan won by 20 runs,56880,"['65101', '49899', '56880', '8270', '48983', '48982', '72679', '84937', '53540', '72719', '62088']","['48391', '9952', '34747', '46933', '53891', '6329', '49193', '44829', '49028', '47289', '19422']",['72679']
Independence Cup World-XI in Pakistan - 2017 (2017/18),13-09-2017,Pakistan,174,6,10,World-XI,175,3,3,Lahore,Pakistan,Pakistan,bat,World-XI,World-XI won by 7 wickets (with 1 ball remaining),49193,"['65101', '49899', '56880', '8270', '48982', '48983', '53540', '56883', '84937', '74145', '62088']","['48391', '9952', '34747', '46933', '49193', '53891', '2314', '49028', '45772', '47289', '19422']",[]
Independence Cup World-XI in Pakistan - 2017 (2017/18),15-09-2017,Pakistan,183,4,2,World-XI,150,8,5,Lahore,Pakistan,World-XI,bowl,Pakistan,Pakistan won by 33 runs,49899,"['65101', '49899', '56880', '8270', '48982', '48983', '56883', '84937', '72719', '74145', '62088']","['48391', '9952', '49028', '46933', '35384', '53891', '49193', '44829', '47289', '45772', '19422']",[]
WI tour of England  - 2017 (2017),16-09-2017,West Indies,176,9,8,England,155,10,9,Chester-le-Street,England,England,bowl,West Indies,West Indies won by 21 runs,49039,"['7568', '61413', '10238', '53429', '49040', '80425', '62457', '49039', '53434', '46591', '62138']","['52290', '49532', '52656', '47055', '53271', '52161', '49427', '53121', '45443', '51421', '67312']",[]
AUS in IND  - 2017 (2017/18),07-10-2017,Australia,118,8,3,India,49,1,1,Ranchi,India,India,bowl,India,India won by 9 wickets (with 3 balls remaining) (DLS method),67609,"['48739', '35812', '54222', '66190', '47078', '44853', '34747', '49958', '62500', '58435', '50789']","['48405', '15887', '49752', '51454', '51482', '7593', '70633', '54282', '61325', '67609', '70640']",['50789']
AUS in IND  - 2017 (2017/18),10-10-2017,India,118,10,10,Australia,122,2,2,Guwahati,India,Australia,bowl,Australia,Australia won by 8 wickets (with 27 balls remaining),50789,"['48405', '15887', '49752', '51454', '51482', '7593', '70633', '54282', '67609', '70640', '61325']","['35812', '48739', '47078', '66190', '54222', '54212', '34747', '49958', '62500', '58435', '50789']",[]
SL in UAE and PAK  - 2017 (2017/18),26-10-2017,Sri Lanka,102,10,4,Pakistan,103,3,7,Abu Dhabi,United Arab Emirates,Pakistan,bowl,Pakistan,Pakistan won by 7 wickets (with 16 balls remaining),74145,"['56646', '52808', '70890', '49222', '48468', '48620', '61690', '50378', '49193', '54460', '60526']","['65101', '49899', '56880', '8270', '19647', '48983', '48982', '72679', '84937', '72719', '74145']",['70890']
Bangladesh tour of SA  - 2017 (2017/18),26-10-2017,South Africa,195,4,10,Bangladesh,175,9,14,Bloemfontein,South Africa,South Africa,bat,South Africa,South Africa won by 20 runs,46533,"['58406', '9952', '46533', '45222', '53891', '48148', '66859', '48088', '46936', '54444', '58511']","['51239', '61619', '48277', '47986', '58220', '47352', '70884', '70877', '66808', '51377', '52364']",['48088']
PAK in UAE  - 2017 (2017/18),27-10-2017,Sri Lanka,124,9,4,Pakistan,125,8,10,Abu Dhabi,United Arab Emirates,Pakistan,bowl,Pakistan,Pakistan won by 2 wickets (with 1 ball remaining),84937,"['56646', '52808', '70890', '50378', '49193', '61690', '54460', '48468', '48620', '49222', '60526']","['49899', '65101', '56880', '8270', '19647', '48983', '48982', '72679', '84937', '72719', '74145']",[]
Bangladesh tour of SA  - 2017 (2017/18),29-10-2017,South Africa,224,4,3,Bangladesh,141,10,8,Potchefstroom,South Africa,Bangladesh,bowl,South Africa,South Africa won by 83 runs,53891,"['9952', '54432', '45222', '46533', '53891', '48148', '66859', '48088', '46936', '58511', '54430']","['51239', '61619', '48277', '47986', '58220', '47352', '66691', '70884', '70877', '66808', '52364']",[]
SL in UAE and PAK  - 2017 (2017/18),29-10-2017,Pakistan,180,3,6,Sri Lanka,144,9,3,Lahore,Pakistan,Sri Lanka,bowl,Pakistan,Pakistan won by 36 runs,8270,"['65101', '51362', '56880', '8270', '72679', '19647', '48983', '48982', '51498', '84937', '72719']","['56646', '52808', '70890', '48468', '61690', '56648', '49193', '50378', '48620', '54460', '60526']",['56648']
New Zealand in India  - 2017 (2017/18),01-11-2017,India,202,3,9,New Zealand,149,8,9,Delhi,India,New Zealand,bowl,India,India won by 53 runs,15887,"['48405', '15887', '70633', '49752', '7593', '71331', '67455', '54282', '7804', '61325', '70640']","['48927', '49106', '51088', '59148', '74833', '47231', '66842', '64864', '49108', '67586', '51092']",['71331']
New Zealand in India  - 2017 (2017/18),04-11-2017,New Zealand,196,2,12,India,156,7,4,Rajkot,India,New Zealand,bat,New Zealand,New Zealand won by 40 runs,49106,"['48927', '49106', '51088', '74833', '80639', '47231', '66842', '64864', '51092', '62153', '67586']","['48405', '15887', '71331', '49752', '70633', '7593', '67455', '54282', '70640', '87477', '61325']",['87477']
New Zealand in India  - 2017 (2017/18),07-11-2017,India,67,5,3,New Zealand,61,6,8,Thiruvananthapuram,India,New Zealand,bowl,India,India won by 6 runs,70640,"['48405', '15887', '49752', '71331', '51454', '70633', '7593', '54282', '70640', '67609', '61325']","['48927', '49106', '51088', '80639', '47231', '66842', '74833', '64864', '51092', '49108', '67586']",[]
SL in INDIA  - 2017 (2017/18),20-12-2017,India,180,3,7,Sri Lanka,87,10,2,Cuttack,India,Sri Lanka,bowl,India,India won by 93 runs,61325,"['48405', '60530', '71331', '7593', '51454', '8813', '70633', '67609', '70640', '59261', '61325']","['61131', '11334', '52373', '47023', '57410', '61690', '49193', '68065', '67342', '62757', '54131']",['62757']
SL in INDIA  - 2017 (2017/18),22-12-2017,India,260,5,9,Sri Lanka,172,9,9,Indore,India,Sri Lanka,bowl,India,India won by 88 runs,48405,"['48405', '60530', '7593', '70633', '71331', '51454', '8813', '67609', '70640', '59261', '61325']","['61131', '11334', '52373', '49193', '57410', '70890', '56648', '68065', '67342', '54131', '47023']",[]
SL in INDIA  - 2017 (2017/18),24-12-2017,Sri Lanka,135,7,8,India,139,5,8,Mumbai,India,India,bowl,India,India won by 5 wickets (with 4 balls remaining),59261,"['61131', '11334', '52373', '70890', '57410', '56646', '49193', '61690', '68065', '67342', '54131']","['48405', '60530', '71331', '51454', '70633', '8813', '7593', '75311', '67609', '59261', '87477']",['75311']
WI in NZ  - 2017 (2017/18),29-12-2017,New Zealand,187,7,6,West Indies,140,10,4,Nelson,New Zealand,West Indies,bowl,New Zealand,New Zealand won by 47 runs,80639,"['48927', '49106', '80639', '74833', '44930', '58874', '64864', '57609', '49108', '67586', '59454']","['53429', '7568', '47602', '68405', '49030', '80425', '62457', '53434', '62138', '46591', '45772']","['58874', '59454', '68405']"
WI in NZ  - 2017 (2017/18),03-01-2018,New Zealand,243,5,12,West Indies,124,9,6,Mount Maunganui,New Zealand,New Zealand,bat,New Zealand,New Zealand won by 119 runs,49106,"['48927', '49106', '74833', '58874', '51088', '80639', '64864', '57609', '49108', '67586', '51092']","['53429', '7568', '47602', '80425', '72393', '62457', '53434', '47134', '46591', '45772', '68405']",['47134']
PAK in NZ  - 2018 (2017/18),22-01-2018,Pakistan,105,10,3,New Zealand,106,3,4,Wellington,New Zealand,New Zealand,bowl,New Zealand,New Zealand won by 7 wickets (with 25 balls remaining),49106,"['65101', '51362', '56883', '53639', '56880', '48983', '84937', '72679', '72719', '51498', '62088']","['48927', '49106', '80639', '74833', '44930', '58874', '47231', '64864', '49108', '67586', '59454']",[]
PAK in NZ  - 2018 (2017/18),25-01-2018,Pakistan,201,4,10,New Zealand,153,10,17,Auckland,New Zealand,Pakistan,bat,Pakistan,Pakistan won by 48 runs,65101,"['65101', '49899', '56880', '48983', '72679', '72719', '51362', '53639', '84937', '51498', '62088']","['48927', '49106', '51088', '74833', '80639', '47231', '64864', '61846', '67586', '59454', '51092']",[]
PAK in NZ  - 2018 (2017/18),28-01-2018,Pakistan,181,6,5,New Zealand,163,6,4,Mount Maunganui,New Zealand,Pakistan,bat,Pakistan,Pakistan won by 18 runs,84937,"['65101', '49899', '56880', '48983', '53639', '51362', '72679', '61552', '84937', '51498', '62088']","['48927', '51088', '58874', '74833', '47231', '44930', '61839', '64864', '49108', '67586', '51092']",[]
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",03-02-2018,New Zealand,117,9,12,Australia,96,3,2,Sydney,Australia,Australia,bowl,Australia,Australia won by 7 wickets (with 21 balls remaining) (DLS method),66371,"['48927', '49106', '51088', '74833', '44930', '61839', '47231', '64864', '49108', '67586', '51092']","['48739', '53268', '54340', '54222', '54314', '54212', '64929', '62500', '58435', '50709', '66371']","['54314', '53268']"
AFG in UAE  - 2017 (2017/18),05-02-2018,Zimbabwe,120,9,16,Afghanistan,121,5,13,Sharjah,United Arab Emirates,Afghanistan,bowl,Afghanistan,Afghanistan won by 5 wickets (with 32 balls remaining),46888,"['10423', '51444', '45253', '52319', '64447', '55144', '47234', '48205', '55140', '60782', '80845']","['60436', '53767', '53809', '46888', '70961', '65861', '57628', '61857', '90165', '79159', '57022']","['80845', '80845', '90165', '64447', '51444']"
AFG in UAE  - 2017 (2017/18),06-02-2018,Afghanistan,158,9,14,Zimbabwe,141,5,7,Sharjah,United Arab Emirates,Zimbabwe,bowl,Afghanistan,Afghanistan won by 17 runs,46888,"['60436', '53767', '53809', '46888', '65861', '57628', '70961', '57022', '79159', '61857', '90165']","['51444', '10423', '45253', '52319', '64447', '48205', '55144', '55140', '80845', '60782', '47234']",[]
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",07-02-2018,England,155,9,6,Australia,161,5,7,Hobart,Australia,Australia,bowl,Australia,Australia won by 5 wickets (with 9 balls remaining),54222,"['52290', '49532', '49309', '47055', '53271', '52241', '53121', '51421', '49427', '67312', '56993']","['48739', '53268', '54340', '54222', '54212', '66190', '54314', '64929', '62500', '50709', '66371']",[]
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",10-02-2018,England,137,7,9,Australia,138,3,10,Melbourne,Australia,Australia,bowl,Australia,Australia won by 7 wickets (with 33 balls remaining),50709,"['52290', '49532', '49309', '52122', '53271', '52241', '53121', '51421', '48572', '49427', '67312']","['48739', '53268', '54340', '54222', '35812', '54212', '54314', '64929', '62500', '50709', '66371']",[]
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",13-02-2018,New Zealand,196,5,13,England,184,9,6,Wellington,New Zealand,England,bowl,New Zealand,New Zealand won by 12 runs,51088,"['48927', '49106', '51088', '47231', '61802', '44930', '70695', '64864', '49108', '67586', '51092']","['52290', '49532', '49309', '52122', '53271', '52241', '53121', '51421', '45443', '49427', '56993']",['70695']
SL in BDESH  - 2018 (2017/18),15-02-2018,Bangladesh,193,5,21,Sri Lanka,194,4,15,Dhaka,Bangladesh,Bangladesh,bat,Sri Lanka,Sri Lanka won by 6 wickets (with 20 balls remaining),70888,"['74117', '61619', '47986', '87075', '47352', '58220', '50468', '70884', '62002', '54674', '52364']","['70888', '56646', '11334', '61690', '61131', '49193', '52371', '24777', '68065', '93873', '54460']","['87075', '50468', '62002', '93873', '93873', '74117']"
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",16-02-2018,New Zealand,243,6,12,Australia,245,5,20,Auckland,New Zealand,New Zealand,bat,Australia,Australia won by 5 wickets (with 7 balls remaining),53268,"['48927', '49106', '70695', '61802', '47231', '44930', '51088', '61846', '49108', '67586', '51092']","['48739', '53268', '54340', '54222', '35812', '54212', '54314', '64929', '62500', '50709', '66371']",[]
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",18-02-2018,England,194,7,5,New Zealand,192,4,13,Hamilton,New Zealand,New Zealand,bowl,England,England won by 2 runs,47055,"['52290', '49532', '49309', '47055', '53271', '52241', '53121', '48572', '51421', '49427', '67312']","['48927', '49106', '51088', '61802', '44930', '47231', '70695', '64864', '49108', '67586', '51092']",[]
SL in BDESH  - 2018 (2017/18),18-02-2018,Sri Lanka,210,4,10,Bangladesh,135,10,10,Sylhet,Bangladesh,Bangladesh,bowl,Sri Lanka,Sri Lanka won by 75 runs,70888,"['56646', '70888', '49193', '11334', '61690', '52371', '24777', '61125', '68065', '93873', '54460']","['48391', '61619', '47986', '50414', '47352', '50468', '70884', '80875', '54674', '60029', '62002']","['60029', '61125', '80875']"
South Africa v India 2018  - 2018 (2017/18),18-02-2018,India,203,5,11,South Africa,175,9,8,Johannesburg,South Africa,South Africa,bowl,India,India won by 28 runs,54282,"['48405', '15887', '15716', '49752', '51454', '7593', '70633', '54282', '59261', '70640', '61325']","['51232', '50416', '45222', '53891', '48148', '61634', '66859', '61832', '54444', '67090', '58408']","['61634', '67090']"
"Trans-Tasman T20 Australia, England, New Zealand in Australia/New Zealand - 2018 (2017/18)",21-02-2018,New Zealand,150,9,8,Australia,121,3,6,Auckland,New Zealand,New Zealand,bat,Australia,Australia won by 19 runs (DLS method),64929,"['48927', '49106', '51088', '61802', '44930', '47231', '64864', '70695', '49108', '67586', '51092']","['48739', '53268', '64929', '54222', '35812', '54340', '54212', '54314', '62500', '50709', '66371']",[]
South Africa v India 2018  - 2018 (2017/18),21-02-2018,India,188,4,1,South Africa,189,4,7,Centurion,South Africa,South Africa,bowl,South Africa,South Africa won by 6 wickets (with 8 balls remaining),61634,"['15887', '48405', '15716', '49752', '51454', '7593', '70633', '54282', '59261', '61325', '63477']","['50416', '51232', '45222', '61634', '53891', '48148', '66859', '61832', '54444', '67090', '58408']",['63477']
South Africa v India 2018  - 2018 (2017/18),24-02-2018,India,172,7,8,South Africa,165,6,4,Cape Town,South Africa,South Africa,bowl,India,India won by 7 runs,15716,"['48405', '15887', '15716', '51454', '70633', '7593', '8813', '67455', '54282', '63477', '70640']","['50416', '53891', '45222', '61634', '48815', '61832', '48148', '66859', '46936', '67090', '58408']",['48815']
"Nidahas T20 Series Bangladesh, India, Sri Lanka in Sri Lanka - 2018 (2017/18)",06-03-2018,India,174,5,10,Sri Lanka,175,5,11,Colombo,Sri Lanka,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 5 wickets (with 9 balls remaining),52373,"['48405', '15887', '15716', '51454', '86165', '8813', '75311', '63509', '63477', '59261', '61325']","['56646', '70888', '52373', '52371', '11334', '61690', '49193', '24777', '68065', '67342', '54131']",['63509']
"Nidahas T20 Series Bangladesh, India, Sri Lanka in Sri Lanka - 2018 (2017/18)",08-03-2018,Bangladesh,139,8,15,India,140,4,4,Colombo,Sri Lanka,India,bowl,India,India won by 6 wickets (with 8 balls remaining),63509,"['48391', '61619', '66691', '47986', '47352', '58220', '70877', '66808', '52364', '54674', '62002']","['48405', '15887', '86165', '15716', '51454', '8813', '63509', '75311', '63477', '59261', '61325']",[]
"Nidahas T20 Series Bangladesh, India, Sri Lanka in Sri Lanka - 2018 (2017/18)",10-03-2018,Sri Lanka,214,6,17,Bangladesh,215,5,9,Colombo,Sri Lanka,Bangladesh,bowl,Bangladesh,Bangladesh won by 5 wickets (with 2 balls remaining),47986,"['56646', '70888', '52373', '61690', '52371', '11334', '49193', '24777', '68065', '67342', '54131']","['48391', '66691', '61619', '47986', '47352', '58220', '70877', '66808', '52364', '54674', '62002']",[]
"Nidahas T20 Series Bangladesh, India, Sri Lanka in Sri Lanka - 2018 (2017/18)",12-03-2018,Sri Lanka,152,9,10,India,153,4,8,Colombo,Sri Lanka,India,bowl,India,India won by 6 wickets (with 9 balls remaining),63477,"['56646', '70888', '52373', '11334', '49193', '24777', '61690', '68065', '46995', '67342', '54131']","['48405', '15887', '60530', '15716', '51454', '8813', '63509', '75311', '63477', '59261', '61325']",[]
"Nidahas T20 Series Bangladesh, India, Sri Lanka in Sri Lanka - 2018 (2017/18)",14-03-2018,India,176,3,3,Bangladesh,159,6,7,Colombo,Sri Lanka,Bangladesh,bowl,India,India won by 17 runs,48405,"['48405', '15887', '15716', '8813', '60530', '51454', '63509', '75311', '63477', '61325', '87477']","['48391', '66691', '61619', '47986', '47352', '58220', '70877', '67278', '52364', '54674', '62002']",[]
"Nidahas T20 Series Bangladesh, India, Sri Lanka in Sri Lanka - 2018 (2017/18)",16-03-2018,Sri Lanka,159,7,9,Bangladesh,160,8,9,Colombo,Sri Lanka,Bangladesh,bowl,Bangladesh,Bangladesh won by 2 wickets (with 1 ball remaining),47352,"['56646', '70888', '52373', '11334', '61690', '24777', '49193', '54460', '68065', '61125', '54131']","['48391', '66691', '58220', '47986', '61619', '47352', '48277', '70877', '54674', '52364', '62002']",[]
