Series Name,Match Date,Team1,Team1Runs,Team1WicketsFell,Team1ExtrasRec,Team2,Team2Runs,Team2WicketsFell,Team2ExtrasRec,Venue,Country,TossWinner,TossWinnerChoice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
ICC World Twenty20 in South Africa - 2007 (2007/08),16-09-2007,Bangladesh,123,8,19,Australia,124,1,2,Cape Town,South Africa,Australia,bowl,Australia,Australia won by 9 wickets (with 37 balls remaining),5966,"['48391', '45156', '45558', '24667', '48277', '24672', '35501', '48384', '47986', '45159', '45573']","['4176', '2119', '2230', '4382', '6256', '6253', '8876', '5966', '10130', '7445', '6973']",[]
ICC World Twenty20 in South Africa - 2007 (2007/08),16-09-2007,South Africa,154,8,9,England,135,7,7,Cape Town,South Africa,England,bowl,South Africa,South Africa won by 19 runs,9505,"['10406', '45222', '46533', '6335', '3947', '2228', '9505', '46935', '4130', '47289', '4073']","['44660', '11120', '8107', '2314', '6377', '4271', '4660', '6769', '7184', '48440', '10829']",['4660']
ICC World Twenty20 in South Africa - 2007 (2007/08),17-09-2007,Pakistan,189,6,9,Sri Lanka,156,9,16,Johannesburg,South Africa,Sri Lanka,bowl,Pakistan,Pakistan won by 33 runs,10439,"['11647', '8177', '19647', '10439', '8270', '4169', '9257', '19596', '19627', '44908', '48128']","['11334', '1988', '9587', '6315', '8197', '7419', '8203', '15522', '2166', '45105', '11271']",[]
ICC World Twenty20 in South Africa - 2007 (2007/08),18-09-2007,New Zealand,164,9,7,England,159,8,1,Durban,South Africa,England,bowl,New Zealand,New Zealand won by 5 runs,5619,"['10311', '10384', '35647', '44930', '9570', '5619', '9989', '4380', '10280', '15357', '9711']","['4528', '4661', '8107', '2314', '6377', '4271', '44660', '6769', '7184', '48440', '10829']",[]
ICC World Twenty20 in South Africa - 2007 (2007/08),18-09-2007,Australia,164,7,7,Pakistan,165,4,7,Johannesburg,South Africa,Pakistan,bowl,Pakistan,Pakistan won by 6 wickets (with 5 balls remaining),19596,"['4176', '2119', '2230', '4382', '6256', '6253', '8876', '5966', '10130', '7445', '6973']","['8177', '19647', '11647', '10439', '8270', '19596', '4169', '9257', '19627', '44908', '48128']",[]
ICC World Twenty20 in South Africa - 2007 (2007/08),18-09-2007,Sri Lanka,147,5,10,Bangladesh,83,10,1,Johannesburg,South Africa,Bangladesh,bowl,Sri Lanka,Sri Lanka won by 64 runs,11271,"['11334', '1988', '9587', '6315', '8197', '7419', '8203', '11374', '2166', '11271', '45105']","['48391', '45156', '45558', '24667', '48277', '46505', '47352', '24672', '47986', '45159', '45573']",[]
ICC World Twenty20 in South Africa - 2007 (2007/08),19-09-2007,New Zealand,153,8,8,South Africa,158,4,8,Durban,South Africa,South Africa,bowl,South Africa,South Africa won by 6 wickets (with 5 balls remaining),6335,"['10311', '10384', '44930', '9570', '5619', '9989', '10386', '4380', '10280', '15357', '9711']","['10406', '2347', '46533', '6335', '3947', '2228', '46935', '9505', '4130', '47289', '6343']",['10386']
ICC World Twenty20 in South Africa - 2007 (2007/08),19-09-2007,India,218,4,18,England,200,6,16,Durban,South Africa,India,bat,India,India won by 18 runs,7716,"['7773', '7781', '8742', '7593', '7716', '11399', '48405', '7139', '45592', '12020', '47123']","['4528', '4661', '8107', '2314', '6377', '4271', '44660', '6769', '10851', '48440', '10829']","['10851', '45592', '48405']"
ICC World Twenty20 in South Africa - 2007 (2007/08),20-09-2007,Sri Lanka,101,10,4,Australia,102,0,13,Cape Town,South Africa,Australia,bowl,Australia,Australia won by 10 wickets (with 58 balls remaining),6973,"['11334', '1988', '9587', '6315', '8197', '7419', '8203', '11374', '2166', '45105', '11271']","['4176', '2119', '6253', '4382', '6256', '8876', '10125', '5966', '10130', '7445', '6973']",[]
ICC World Twenty20 in South Africa - 2007 (2007/08),20-09-2007,Bangladesh,140,10,14,Pakistan,141,6,5,Cape Town,South Africa,Pakistan,bowl,Pakistan,Pakistan won by 4 wickets (with 6 balls remaining),47218,"['48391', '47218', '45558', '24667', '48277', '46505', '47352', '24672', '47986', '45159', '45573']","['8177', '4169', '19647', '11647', '10439', '8270', '19596', '9257', '19627', '44908', '48128']","['47218', '47218']"
